Summary,Melange Notes,Time to Complete (Hours),Mentor IDs,Difficulty,Categories,Task Tags,Id,Multple,Additional Notes (to be put in Melange),AllLabels
Check and compare an old patch concerning object with indices against current sympy,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=16"">http://code.google.com/p/sympy/issues/detail?id=16</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>Additional Note(s): Check out comment 32 in the bug report.",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,    Matrices,  ",16,,Check out comment 32 in the bug report.,"CodeInCategory-Documentation, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, EasyToFix, Matrices, Priority-Medium, Type-Enhancement"
Classifying formulas,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1058"">http://code.google.com/p/sympy/issues/detail?id=1058</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, proga_goodok_ru, vperic, mrocklin",Easy,Code,,1058,,,"CodeInCategory-Code, CodeInDifficulty-Easy, Priority-Medium, Type-Enhancement"
Bug in subs,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1616"">http://code.google.com/p/sympy/issues/detail?id=1616</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,QualityAssurance,"Python,   Matching,  ",1616,,,"CodeInCategory-QA, CodeInDifficulty-Easy, EasyToFix, Matching, Priority-High, Type-Defect"
Documentation for the Expr class,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=1886"">http://code.google.com/p/sympy/issues/detail?id=1886</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,    ",1886,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, Priority-Medium, Type-Defect"
Move stuff from the Google Code SVN to git,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2115"">http://code.google.com/p/sympy/issues/detail?id=2115</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,    ",2115,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Documentation, Priority-Medium, Type-Defect"
sympy development rules,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2157"">http://code.google.com/p/sympy/issues/detail?id=2157</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Training,"Python,    ",2157,,,"CodeInCategory-Training, CodeInDifficulty-Easy, Documentation, Priority-Medium, Type-Enhancement"
List of dependencies,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2160"">http://code.google.com/p/sympy/issues/detail?id=2160</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,     ",2160,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, Documentation, Priority-Medium, Type-Defect"
Document why unpickling a singleton doesn't return the singleton object with protocol 0 and 1,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2204"">http://code.google.com/p/sympy/issues/detail?id=2204</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,    ",2204,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, Documentation, Priority-Medium, Type-Defect"
integrate() should use the ode module's undetermined coefficients solver when possible,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2276"">http://code.google.com/p/sympy/issues/detail?id=2276</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Code,"Python,   Integration,  Solvers, ",2276,,,"CodeInCategory-Code, CodeInDifficulty-Easy, EasyToFix, Integration, Priority-Medium, Solvers, Type-Defect"
SymPy's readthedocs documentation is broken,"Please see <a href=""http://code.google.com/p/sympy/issues/detail?id=2367"">http://code.google.com/p/sympy/issues/detail?id=2367</a> for full information on this task. <br><br>Please read <a href=""https://github.com/sympy/sympy/wiki/gci-2011-landing"">https://github.com/sympy/sympy/wiki/gci-2011-landing</a> before completing any tasks for SymPy. <br><br>",48,"asmeurer, krastanov, vperic, mrocklin",Easy,Documentation,"Python,      ",2367,,,"CodeInCategory-Documentation, CodeInDifficulty-Easy, CodeInImportedIntoSpreadsheet, Documentation, EasyToFix, Priority-High, Type-Defect"
